setup (ms),inference (ms),proving (ms),verifying (ms),proof size (KB),accuracy (bool)
89,7,186,15,5768.562,1
89,4,189,14,5744.624,0
89,3,190,14,5757.587,0
89,4,191,14,5753.757,0
89,4,192,14,5757.293,0
89,4,195,14,5764.920,1
89,4,193,14,5749.742,1
89,5,196,16,5751.442,1
89,4,192,13,5758.518,0
89,5,193,14,5748.937,0
89,4,191,14,5762.291,0
89,4,193,13,5768.183,0
89,5,191,15,5769.827,1
89,4,193,14,5763.901,0
89,4,198,13,5761.207,0
89,4,196,14,5757.015,0
89,5,191,14,5752.471,0
89,4,196,13,5757.591,1
89,4,199,14,5766.775,1
89,5,192,14,5755.104,1
89,4,197,15,5764.387,0
89,5,194,15,5756.136,0
89,3,194,14,5751.043,0
89,4,196,14,5767.528,1
89,4,196,14,5754.110,0
89,4,193,14,5761.311,1
89,4,194,14,5766.512,1
89,4,194,14,5756.998,0
89,5,197,14,5766.671,0
89,5,193,14,5747.872,0
